name,price,socket,form_factor,max_memory,memory_slots,color
ASRock X570 Phantom Gaming-ITX/TB3,25900.0,AM4,Mini ITX,64,2,Black / Silver
Gigabyte Z690 UD DDR4,22685.0,LGA1700,ATX,128,4,Black
ASRock B450 Steel Legend,12457.0,AM4,ATX,64,4,Black / Silver
MSI PRO B660M-G DDR4,9999.0,LGA1700,Micro ATX,64,2,Black / Silver
MSI Z390-A PRO,23900.0,LGA1151,ATX,128,4,Brown / Black
MSI MPG B650 CARBON WIFI,31147.000000000004,AM5,ATX,128,4,Black
Asus PRIME Z690-A,21999.0,LGA1700,ATX,128,4,Silver / Black
Gigabyte TRX40 AORUS XTREME,190900.0,sTRX4,XL ATX,256,8,Black / Silver
Asus TUF GAMING B550-PLUS,17450.0,AM4,ATX,128,4,Black
Gigabyte B760M DS3H AX,12999.0,LGA1700,Micro ATX,128,4,Black
Asus ROG STRIX B650E-E GAMING WIFI,34999.0,AM5,ATX,128,4,Black
ASRock X570 Phantom Gaming 4,15499.0,AM4,ATX,128,4,Black / Silver
Gigabyte A620M GAMING X,9999.0,AM5,Micro ATX,128,4,Brown / Gray
MSI PRO B550-VC,13999.0,AM4,ATX,128,4,Black
Gigabyte Z790 UD AC,17999.0,LGA1700,ATX,128,4,Black
Asus ROG STRIX Z790-A GAMING WIFI D4,33999.0,LGA1700,ATX,128,4,Black / Silver
Asus ROG STRIX Z790-F GAMING WIFI,39199.0,LGA1700,ATX,128,4,Black
ASRock B450M PRO4 R2.0,7498.0,AM4,Micro ATX,128,4,Gray / Black
Asus TUF GAMING B560M-PLUS WIFI,17447.0,LGA1200,Micro ATX,128,4,Gold / Black
Asus ROG STRIX Z390-E GAMING,34000.0,LGA1151,ATX,128,4,Black
Asus PRIME B550M-A,11418.0,AM4,Micro ATX,128,4,Black / White
MSI PRO B760M-A WIFI DDR4,16999.0,LGA1700,Micro ATX,128,4,Black
Gigabyte Z690 UD AX DDR4,15999.0,LGA1700,ATX,128,4,Black
Asus PRIME B550M-K,13250.0,AM4,Micro ATX,128,4,Black / White
Gigabyte H610M S2H,9999.0,LGA1700,Micro ATX,64,2,Brown / Silver
Asus ROG STRIX Z690-F GAMING WIFI,24999.0,LGA1700,ATX,128,4,Black / Silver
Asus TUF GAMING B650M-PLUS WIFI,21999.0,AM5,Micro ATX,128,4,Black
ASRock B450M-HDV R4.0,9084.0,AM4,Micro ATX,32,2,Black / White
Asus ROG STRIX Z590-E GAMING WIFI,19995.0,LGA1200,ATX,128,4,Black
ASRock X570 Steel Legend WiFi ax,13999.0,AM4,ATX,128,4,Black / Silver
Gigabyte B760M DS3H DDR4,11999.0,LGA1700,Micro ATX,128,4,Black
MSI MPG Z690 CARBON WIFI,28099.0,LGA1700,ATX,128,4,Black / Silver
Asus PRIME X670-P,24202.0,AM5,ATX,128,4,Silver / Black
Asus TUF GAMING Z690-PLUS WIFI,16699.0,LGA1700,ATX,128,4,Black / Gray
MSI MAG B760M MORTAR WIFI,17995.0,LGA1700,Micro ATX,128,4,Black / Silver
MSI MEG X670E ACE,69999.0,AM5,EATX,128,4,Black / Gold
ASRock B760 Pro RS,12999.0,LGA1700,ATX,128,4,Silver / Black
ASRock H310CM-DVS,6399.0,LGA1151,Micro ATX,32,2,Black
ASRock B650M PG RIPTIDE WIFI,18999.0,AM5,Micro ATX,128,4,Black
MSI PRO Z690-A DDR4,18999.0,LGA1700,ATX,128,4,Black / Silver
Gigabyte B660M DS3H DDR4,16594.0,LGA1700,Micro ATX,128,4,Black
ASRock X670E Taichi,49999.0,AM5,EATX,128,4,Black
NZXT N5 Z690,23999.0,LGA1700,ATX,128,4,Black / White
MSI PRO B550M-P GEN3,14484.0,AM4,Micro ATX,128,4,Black
Asus PRIME B450-PLUS,12579.0,AM4,ATX,64,4,Black / Silver
Gigabyte B650 AORUS PRO AX,22999.0,AM5,ATX,128,4,Black
Gigabyte H510M H,9878.0,LGA1200,Micro ATX,64,2,Black
ASRock Z690 STEEL LEGEND/D5,19999.0,LGA1700,ATX,128,4,Black / White
ASRock Z590 Extreme WiFi 6E,11999.0,LGA1200,ATX,128,4,Black / Blue
Asus TUF GAMING B550M-PLUS,15999.0,AM4,Micro ATX,128,4,Black
Gigabyte H610M S2H DDR4,8999.0,LGA1700,Micro ATX,64,2,Black / Gray
Asus ROG STRIX B550-F GAMING (WI-FI),39800.0,AM4,ATX,128,4,Black
NZXT N7-Z69XT-W1,32395.0,LGA1700,ATX,128,4,White / Black
Asus PRIME B660M-A D4,13599.0,LGA1700,Micro ATX,128,4,Silver / Black
