name,price,price_per_gb,color,first_word_latency,cas_latency,speed_num,speed_value,modules_num,modules_value
Kingston Server Premier 64 GB,17402.0,271.9,,13.75,22.0,4,3200,1,64
Kingston FURY Beast RGB 16 GB,9356.0,584.8,Black,15.385,40.0,5,5200,2,8
G.Skill Trident Z5 RGB 32 GB,12999.0,406.20000000000005,White / Black,10.0,30.0,5,6000,2,16
Corsair Vengeance RGB 64 GB,24499.0,382.8,Black,12.857,36.0,5,5600,4,16
Patriot Viper Steel 32 GB,6299.0,196.8,Silver / Black,10.0,16.0,4,3200,2,16
Kingston FURY Beast 16 GB,9196.0,574.7,Black / Silver,12.857,36.0,5,5600,2,8
G.Skill Trident Z5 RGB 64 GB,21799.0,340.6,Black,10.0,30.0,5,6000,2,32
G.Skill Trident Z RGB 96 GB,40999.0,427.09999999999997,Black,10.0,32.0,5,6400,2,48
ADATA XPG GAMMIX D20 16 GB,3699.0,231.2,Black / Silver,10.0,16.0,4,3200,2,8
Samsung M378A1K43CB2-CRC 8 GB,1818.0,227.2,Green,14.167,17.0,4,2400,1,8
Corsair Vengeance RGB Pro SL 16 GB,5999.0,374.90000000000003,White / Black,10.0,16.0,4,3200,2,8
PNY XLR8 16 GB,3399.0,212.4,Black / Red,10.0,16.0,4,3200,2,8
TEAMGROUP T-Force Delta RGB 32 GB,9999.0,312.5,White,12.5,40.0,5,6400,2,16
Kingston FURY Beast 64 GB,21999.0,343.7,Black,14.286,40.0,5,5600,2,32
Corsair Vengeance RGB Pro 32 GB,7998.0,249.9,Black,10.0,18.0,4,3600,2,16
Corsair Vengeance RGB RS 32 GB,8999.0,281.2,Black / Gray,10.0,18.0,4,3600,2,16
Crucial Pro 32 GB,6870.0,214.7,Black,13.75,22.0,4,3200,2,16
Patriot Viper 3 16 GB,3198.0,199.9,Black / Silver,10.718,10.0,3,1866,2,8
Corsair Dominator Platinum RGB 32 GB,11999.0,375.0,Black,10.0,16.0,4,3200,2,16
Corsair Vengeance RGB 64 GB,26499.0,413.99999999999994,Black / Gray,9.697,32.0,5,6600,2,32
Corsair Vengeance RGB Pro 256 GB,158873.0,620.6,Black,10.667,16.0,4,3000,8,32
Kingston FURY Beast RGB 32 GB,13841.0,432.5,Black,12.857,36.0,5,5600,2,16
Corsair Vengeance RGB 32 GB,11499.0,359.3,White,13.333,40.0,5,6000,2,16
G.Skill Trident Z RGB 32 GB,11499.0,359.3,Black,10.0,16.0,4,3200,4,8
TEAMGROUP T-Create Expert 16 GB,3599.0,224.9,Gray,10.0,18.0,4,3600,2,8
