gpu,memory,core_clock,boost_clock,boost_clock,length,rating,architecture,year,power_consumption,average_price
Radeon RX 6800,16.0,1700.0,2155.0,2155.0,324.0,57.54,RDNA 2.0,2020,250,90287.65853658535
GeForce GT 710,1.0,954.0,,,146.0,1.63,Kepler 2.0,2014,19,
GeForce RTX 4090,24.0,2235.0,2520.0,2520.0,337.0,100.0,Ada Lovelace,2022,450,260000.0
GeForce GT 1030,2.0,1266.0,1506.0,1506.0,173.0,6.38,Pascal,2017,30,
Radeon RX 580,8.0,1257.0,1366.0,1366.0,230.0,23.01,GCN 4.0,2017,185,21861.52857142857
Radeon RX 7900 XT,20.0,2000.0,2400.0,2400.0,325.0,75.18,RDNA 3.0,2022,300,113740.7
GeForce GTX 1650 SUPER,4.0,1530.0,1800.0,1800.0,206.0,26.43,Turing,2019,100,21592.88888888889
GeForce RTX 3070 Ti,8.0,1575.0,1800.0,1800.0,316.0,61.17,Ampere,2021,290,63590.19047619047
GeForce RTX 4070 Ti,12.0,2310.0,2610.0,2610.0,297.0,82.62,Ada Lovelace,2023,285,95199.0447761194
Radeon RX 6600,8.0,1626.0,2491.0,2491.0,235.0,39.38,RDNA 2.0,2021,132,35546.67272727273
Radeon RX 6500 XT,4.0,2310.0,2820.0,2820.0,201.0,24.86,RDNA 2.0,2022,107,18785.066666666666
Radeon RX 6400,4.0,1923.0,,,196.0,19.85,RDNA 2.0,2022,53,
GeForce RTX 3070 Ti,8.0,1575.0,1875.0,1875.0,324.0,61.17,Ampere,2021,290,63590.19047619047
GeForce GTX 1080 Ti,11.0,1480.0,1582.0,1582.0,267.0,48.29,Pascal,2017,250,61898.85294117647
Radeon RX 6700 XT,12.0,2321.0,2622.0,2622.0,320.0,51.62,RDNA 2.0,2021,230,67413.57142857143
Radeon RX 6700 XT,12.0,2457.0,2622.0,2622.0,305.0,51.62,RDNA 2.0,2021,230,67413.57142857143
GeForce RTX 3070,8.0,1500.0,,,267.0,58.04,Ampere,2020,220,57456.90140845071
Radeon RX 5700 XT,8.0,1650.0,1905.0,1905.0,280.0,42.89,RDNA 1.0,2019,225,45489.32876712329
GeForce RTX 2060,6.0,1365.0,1710.0,1710.0,231.0,36.76,Turing,2019,160,37083.05882352941
GeForce RTX 3070 Ti,8.0,1575.0,,,318.0,61.17,Ampere,2021,290,63590.19047619047
GeForce RTX 4060,8.0,1830.0,2535.0,2535.0,227.0,51.51,Ada Lovelace,2023,115,44055.95714285714
GeForce GTX 1070,8.0,1632.0,1860.0,1860.0,298.0,35.12,Pascal,2016,150,33152.86486486487
GeForce RTX 4070 Ti,12.0,2310.0,2790.0,2790.0,338.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce RTX 4080,16.0,2205.0,2505.0,2505.0,356.0,89.97,Ada Lovelace,2022,320,131353.42253521126
GeForce RTX 4090,24.0,2235.0,2610.0,2610.0,280.0,100.0,Ada Lovelace,2022,450,260000.0
Radeon RX 6500 XT,4.0,2310.0,2815.0,2815.0,179.0,24.86,RDNA 2.0,2022,107,18785.066666666666
GeForce RTX 4070,12.0,1920.0,2475.0,2475.0,250.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 3090 Ti,24.0,1560.0,1920.0,1920.0,300.0,77.01,Ampere,2022,450,122757.8947368421
GeForce RTX 3090,24.0,1395.0,,,335.0,69.44,Ampere,2020,350,156024.11111111112
GeForce RTX 2080 Ti,11.0,1350.0,1665.0,1665.0,305.0,56.42,Turing,2018,250,93124.89393939394
Radeon RX 6650 XT,8.0,2055.0,2669.0,2669.0,303.0,44.75,RDNA 2.0,2022,176,33281.8
GeForce GTX 1080,8.0,1771.0,1911.0,1911.0,325.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1050 Ti,4.0,1290.0,1392.0,1392.0,192.0,16.43,Pascal,2016,70,15100.314285714288
GeForce GTX 1660,6.0,1530.0,1785.0,1785.0,216.0,30.32,Turing,2019,120,24873.18918918919
GeForce RTX 4070 Ti,12.0,2310.0,2670.0,2670.0,332.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce RTX 4060,8.0,1830.0,2505.0,2505.0,199.0,51.51,Ada Lovelace,2023,115,44055.95714285714
GeForce RTX 4070,12.0,1920.0,2595.0,2595.0,342.0,70.04,Ada Lovelace,2023,200,80861.27692307692
Radeon RX 6600,8.0,1626.0,2491.0,2491.0,243.0,39.38,RDNA 2.0,2021,132,35546.67272727273
GeForce GTX 1660 Ti,6.0,1500.0,1800.0,1800.0,226.0,33.55,Turing,2019,120,27207.916666666668
